star_name,star_ra,star_dec,star_vmag
alpha Arietis,31.7933628,23.4624231,2.002000093460083
beta Arietis,28.6600381,20.808035,2.634999990463257
gamma Arietis,28.3823667,19.294075,10.119999885559082
41 Arietis,42.4959681,27.2605069,3.5880000591278076
35 Arietis,40.8629697,27.7071464,4.636000156402588
39 Arietis,41.9772528,29.2471181,4.521999835968018
beta Tauri,81.5729722,28.60745,1.6749999523162842
zeta Tauri,84.4111906,21.1425489,2.946000099182129
tau Tauri,70.5612569,22.9569258,4.25
alpha Tauri,68.9801608,16.5093014,1.0
epsilon Tauri,67.1541647,19.1804314,3.5280001163482666
78 Tauri,67.1655867,15.8708825,3.38700008392334
77 Tauri,67.1437328,15.9621806,3.8359999656677246
68 Tauri A,66.3719647,17.9284397,9.118000030517578
delta Tauri,65.7337217,17.5425142,3.757999897003174
27 Tauri,57.2905939,24.0534153,3.6080000400543213
28 Tauri,57.2967333,24.1367119,5.035999774932861
25 Tauri,56.8711519,24.1051369,2.8389999866485596
23 Tauri,56.5815575,23.9483583,4.1579999923706055
17 Tauri,56.2189053,24.1133392,3.684000015258789
16 Tauri,56.2008975,24.28947,5.446000099182129
19 Tauri,56.3020603,24.4672775,4.2820000648498535
20 Tauri,56.4566942,24.3677483,3.8550000190734863
21 Tauri,56.4769847,24.5545108,5.748000144958496
22 Tauri,56.5120847,24.5278978,6.419000148773193
gamma Tauri,64.9483489,15.6276422,3.6470000743865967
lambda Tauri,60.1700656,12.4903464,3.3989999294281006
omicron Tauri,51.2033072,9.0288697,3.61299991607666
xi Tauri,51.7923025,9.7326797,3.7209999561309814
64 Orionis,90.8640264,19.6905608,5.123000144958496
54 Orionis,88.59576,20.2761744,4.4039998054504395
xi Orionis,92.9849825,14.208765,4.428999900817871
nu Orionis,91.89302,14.7684717,4.386000156402588
mu Orionis,90.5958281,9.6472764,4.135000228881836
alpha Orionis,88.7929383,7.4070625,0.5809999704360962
39 Orionis A,83.7853375,9.9350328,5.941999912261963
gamma Orionis,81.2827625,6.3497022,1.6430000066757202
7 Orionis,73.7238661,10.1508331,4.650000095367432
2 Orionis,72.6530072,8.9001758,4.340000152587891
1 Orionis,72.4600439,6.9612756,3.1760001182556152
3 Orionis,72.8015161,5.6051039,3.6540000438690186
5 Orionis,73.3448858,2.508225,5.34499979019165
10 Orionis,74.6370911,1.7140156,4.46999979019165
zeta Orionis,85.1896964,-1.9425725,1.8940000534057617
epsilon Orionis,84.0533892,-1.20192,1.7039999961853027
delta Orionis,83.0016694,-0.2990922,2.627000093460083
45 Orionis,83.9145175,-4.8560667,5.241000175476074
42 Orionis,83.8465172,-4.8383581,4.625999927520752
iota Orionis,83.8582603,-5.9099014,2.734999895095825
kappa Orionis,86.93912,-9.669605,2.0480000972747803
beta Orionis,78.6344681,-8.2016406,0.2800000011920929
alpha Geminorum,113.6510089,31.8888519,3.239000082015991
beta Geminorum,116.3289597,28.0261986,1.2230000495910645
upsilon Geminorum,113.9806097,26.8957406,4.060999870300293
kappa Geminorum,116.1118922,24.3979925,3.563999891281128
iota Geminorum,111.4316503,27.7980803,3.7799999713897705
tau Geminorum,107.7848778,30.2451628,4.395999908447266
theta Geminorum,103.1972425,33.9612539,3.5929999351501465
delta Geminorum,110.029575,21.9813028,9.899999618530273
lambda Geminorum,109.5232447,16.5403831,3.562000036239624
xi Geminorum,101.3223525,12.8955911,3.3340001106262207
zeta Geminorum,106.0272158,20.5702969,3.9549999237060547
gamma Geminorum,99.4279211,16.3992519,2.2060000896453857
epsilon Geminorum,100.9830247,25.1311242,2.984999895095825
nu Geminorum,97.2407781,20.2121328,4.11299991607666
mu Geminorum,95.7401125,22.5135858,2.8889999389648438
eta Geminorum,93.719405,22.5067986,3.3450000286102295
1 Geminorum,91.0300619,23.2633408,4.175000190734863
alpha Cancri,134.6217569,11.8577008,4.252999782562256
beta Cancri,124.1288356,9.1855444,3.5220000743865967
delta Cancri,131.1712483,18.1543086,3.934000015258789
gamma Cancri,130.8214419,21.4685006,4.651000022888184
chi Cancri,125.0160842,27.2177067,5.133999824523926
iota Cancri,131.6742519,28.7598981,4.02400016784668
delta Hydrae,129.4140256,5.7037817,4.130000114440918
epsilon Hydrae,131.6936136,6.4191978,7.263999938964844
sigma Hydrae,129.6893233,3.341435,4.447000026702881
rho Hydrae,132.1082106,5.8378122,4.334000110626221
eta Hydrae,130.8061464,3.3986622,4.265999794006348
zeta Hydrae,133.8484431,5.9455631,3.1040000915527344
theta Hydrae,138.5910789,2.3142803,3.8570001125335693
32 Hydrae,142.9955336,-1.1846639,4.551000118255615
31 Hydrae,142.2870736,-2.7689642,4.5960001945495605
alpha Hydrae,141.8968469,-8.6586028,1.9830000400543213
39 Hydrae,147.8695572,-14.8466033,4.11299991607666
40 Hydrae,151.281125,-13.0646261,4.581999778747559
lambda Hydrae,152.6469892,-12.3540831,3.6010000705718994
mu Hydrae,156.5226111,-16.8362906,3.8239998817443848
nu Hydrae,162.4062017,-16.1936486,3.0989999771118164
xi Hydrae,173.2504808,-31.8576253,3.5339999198913574
beta Hydrae,178.2271686,-33.9081244,4.354000091552734
psi Hydrae,197.2636264,-23.11807,4.940000057220459
gamma Hydrae,199.7304031,-23.1715125,2.9820001125335693
alpha Leonis,152.0929608,11.9672069,1.4019999504089355
eta Leonis,151.8331344,16.7626642,3.492000102996826
gamma Leonis,154.9934569,19.8411417,3.9709999561309814
theta Leonis,168.5600214,15.42957,3.302000045776367
beta Leonis,177.2649064,14.5720603,2.128000020980835
delta Leonis,168.5270889,20.5237167,2.5290000438690186
zeta Leonis,154.1725706,23.4173106,3.4240000247955322
mu Leonis,148.1909053,26.0069514,3.880000114440918
epsilon Leonis,146.4628042,23.7742544,2.9590001106262207
alpha Corvi,182.1034039,-24.7288756,4.0229997634887695
beta Corvi,188.5968108,-23.3967594,2.625999927520752
gamma Corvi,183.9515425,-17.5419297,2.5380001068115234
delta Corvi,187.4660642,-16.5154328,2.9260001182556152
epsilon Corvi,182.5311692,-22.6197667,2.99399995803833
nu Virginis,176.4648292,6.5293764,4.046999931335449
13 Virginis,184.6679897,-0.7871842,5.9019999504089355
eta Virginis,184.9764869,-0.6668033,3.869999885559082
gamma Virginis,190.4158867,-1.4493408,3.493000030517578
alpha Virginis,201.2982469,-11.1613222,1.0440000295639038
kappa Virginis,213.2239406,-10.2737019,4.181000232696533
iota Virginis,214.0036239,-6.0005467,4.076000213623047
mu Virginis,220.7650972,-5.6582067,3.86899995803833
zeta Virginis,203.6733,-0.5958203,3.367000102996826
tau Virginis,210.4116386,1.5445317,4.238999843597412
109 Virginis,221.5621836,1.8928853,3.7149999141693115
delta Virginis,193.9008656,3.39747,3.4140000343322754
epsilon Virginis,195.5441544,10.9591503,2.819000005722046
alpha Bootis,213.9153,19.1824103,0.17499999701976776
eta Bootis,208.6711611,18.3977169,2.6589999198913574
upsilon Bootis,207.3693378,15.7979047,4.046000003814697
zeta Bootis,220.2872992,13.7283,4.547999858856201
